Session,Electrode,Tactilo,Mean Amplitude,Condition,Dates
9,Fc2,2,2.214275912335367,nonTarget,28.11.2020
9,C3,2,1.2402747255016413,nonTarget,28.11.2020
9,Cz,2,0.547068906250826,nonTarget,28.11.2020
9,C4,2,0.0858546247580758,nonTarget,28.11.2020
9,Pz,2,1.4369579419042124,nonTarget,28.11.2020
9,Fz,3,-0.3352632922023442,nonTarget,28.11.2020
9,Fc1,3,-0.6381388007466249,nonTarget,28.11.2020
9,Fc2,3,-0.3703219015548409,nonTarget,28.11.2020
9,C3,3,-0.6374987671144888,nonTarget,28.11.2020
9,Cz,3,-0.4968632645189927,nonTarget,28.11.2020
9,C4,3,-0.4595880833077204,nonTarget,28.11.2020
9,Pz,3,-0.8141688798768845,nonTarget,28.11.2020
9,Fz,4,1.4821727267383538,nonTarget,28.11.2020
9,Fc1,4,4.083096652447606,nonTarget,28.11.2020
9,Fc2,4,4.35353633588795,nonTarget,28.11.2020
9,C3,4,1.2957703977205042,nonTarget,28.11.2020
9,Cz,4,0.6481287877200834,nonTarget,28.11.2020
9,C4,4,0.8369387637090852,nonTarget,28.11.2020
9,Pz,4,1.2516186822743776,nonTarget,28.11.2020
9,Fz,5,1.0047886761235665,nonTarget,28.11.2020
9,Fc1,5,1.4792946799384072,nonTarget,28.11.2020
9,Fc2,5,1.0296986414926457,nonTarget,28.11.2020
9,C3,5,1.4115169249170478,nonTarget,28.11.2020
9,Cz,5,1.037076020765695,nonTarget,28.11.2020
9,C4,5,0.2886033115979812,nonTarget,28.11.2020
9,Pz,5,0.1039546974569067,nonTarget,28.11.2020
9,Fz,6,-0.4492164511127807,nonTarget,28.11.2020
9,Fc1,6,0.1466545325829385,nonTarget,28.11.2020
9,Fc2,6,0.6802370293547253,nonTarget,28.11.2020
9,C3,6,-0.61773860302062,nonTarget,28.11.2020
9,Cz,6,-0.916718854788624,nonTarget,28.11.2020
9,C4,6,-0.1278880049140616,nonTarget,28.11.2020
9,Pz,6,0.1706883354854354,nonTarget,28.11.2020
13,Fz,1,1.1978997432051983,Target,01.12.2020
13,Fc1,1,0.7995676327816462,Target,01.12.2020
13,Fc2,1,2.1561628788729577,Target,01.12.2020
13,C3,1,0.710995148186532,Target,01.12.2020
13,Cz,1,2.0824549024657006,Target,01.12.2020
13,C4,1,2.208857292498545,Target,01.12.2020
13,Pz,1,-0.0618019078887818,Target,01.12.2020
13,Fz,2,-2.7613266507420007,Target,01.12.2020
13,Fc1,2,-0.6893674507236202,Target,01.12.2020
13,Fc2,2,-0.8956001014890611,Target,01.12.2020
13,C3,2,0.3519188698389064,Target,01.12.2020
13,Cz,2,0.5252197991688975,Target,01.12.2020
13,C4,2,0.334019210995958,Target,01.12.2020
13,Pz,2,0.1285439010145602,Target,01.12.2020
13,Fz,3,1.0166023281374206,Target,01.12.2020
13,Fc1,3,2.0080635084671568,Target,01.12.2020
13,Fc2,3,1.6597592033657338,Target,01.12.2020
13,C3,3,1.4434373637871398,Target,01.12.2020
13,Cz,3,1.9910896209463336,Target,01.12.2020
13,C4,3,1.6252220373091764,Target,01.12.2020
13,Pz,3,1.1734834857671097,Target,01.12.2020
13,Fz,4,5.206176773458644,Target,01.12.2020
13,Fc1,4,5.943610898951739,Target,01.12.2020
13,Fc2,4,3.756778891415988,Target,01.12.2020
13,C3,4,5.202598477592103,Target,01.12.2020
13,Cz,4,4.112328883792332,Target,01.12.2020
13,C4,4,2.62787783131578,Target,01.12.2020
13,Pz,4,2.6865158253086907,Target,01.12.2020
13,Fz,5,-0.1997216129731874,Target,01.12.2020
13,Fc1,5,0.2530715444400696,Target,01.12.2020
13,Fc2,5,1.4689297862424464,Target,01.12.2020
13,C3,5,0.1747112409655858,Target,01.12.2020
13,Cz,5,1.6946966157883845,Target,01.12.2020
13,C4,5,1.6096450718487048,Target,01.12.2020
13,Pz,5,0.8590885224296623,Target,01.12.2020
13,Fz,6,3.419646496910812,Target,01.12.2020
13,Fc1,6,3.836735166595196,Target,01.12.2020
