Accuracy,Classifier,Session,Ep2Avg
0.2777777777777778,SWLDA,1,1
0.3888888888888889,SWLDA,1,2
0.4444444444444444,SWLDA,1,3
0.4444444444444444,SWLDA,1,4
0.4444444444444444,SWLDA,1,5
0.5,SWLDA,1,6
0.5,SWLDA,1,7
0.5,SWLDA,1,8
0.2222222222222222,SWLDA,2,1
0.2777777777777778,SWLDA,2,2
0.3333333333333333,SWLDA,2,3
0.3333333333333333,SWLDA,2,4
0.3333333333333333,SWLDA,2,5
0.3888888888888889,SWLDA,2,6
0.5,SWLDA,2,7
0.4444444444444444,SWLDA,2,8
0.16666666666666666,SWLDA,3,1
0.2777777777777778,SWLDA,3,2
0.2777777777777778,SWLDA,3,3
0.2222222222222222,SWLDA,3,4
0.3333333333333333,SWLDA,3,5
0.2777777777777778,SWLDA,3,6
0.3333333333333333,SWLDA,3,7
0.2777777777777778,SWLDA,3,8
0.2222222222222222,SWLDA,5,1
0.2777777777777778,SWLDA,5,2
0.2222222222222222,SWLDA,5,3
0.2222222222222222,SWLDA,5,4
0.2222222222222222,SWLDA,5,5
0.2777777777777778,SWLDA,5,6
0.2222222222222222,SWLDA,5,7
0.2222222222222222,SWLDA,5,8
0.16666666666666666,SWLDA,6,1
0.2222222222222222,SWLDA,6,2
0.2222222222222222,SWLDA,6,3
0.2777777777777778,SWLDA,6,4
0.3888888888888889,SWLDA,6,5
0.3888888888888889,SWLDA,6,6
0.3888888888888889,SWLDA,6,7
0.5,SWLDA,6,8
0.16666666666666666,SWLDA,8,1
0.16666666666666666,SWLDA,8,2
0.2777777777777778,SWLDA,8,3
0.3333333333333333,SWLDA,8,4
0.4444444444444444,SWLDA,8,5
0.4444444444444444,SWLDA,8,6
0.5555555555555556,SWLDA,8,7
0.6111111111111112,SWLDA,8,8
0.1111111111111111,SWLDA,9,1
0.2222222222222222,SWLDA,9,2
0.2222222222222222,SWLDA,9,3
0.16666666666666666,SWLDA,9,4
0.2222222222222222,SWLDA,9,5
0.16666666666666666,SWLDA,9,6
0.2222222222222222,SWLDA,9,7
0.3333333333333333,SWLDA,9,8
0.2222222222222222,SWLDA,13,1
0.16666666666666666,SWLDA,13,2
0.2222222222222222,SWLDA,13,3
0.3888888888888889,SWLDA,13,4
0.6111111111111112,SWLDA,13,5
0.5,SWLDA,13,6
0.6111111111111112,SWLDA,13,7
0.6111111111111112,SWLDA,13,8
0.1111111111111111,SWLDA,14,1
0.2222222222222222,SWLDA,14,2
0.3888888888888889,SWLDA,14,3
0.3888888888888889,SWLDA,14,4
0.4444444444444444,SWLDA,14,5
0.4444444444444444,SWLDA,14,6
0.4444444444444444,SWLDA,14,7
0.3333333333333333,SWLDA,14,8
0.16666666666666666,SWLDA,15,1
0.2777777777777778,SWLDA,15,2
0.3333333333333333,SWLDA,15,3
0.3888888888888889,SWLDA,15,4
0.3888888888888889,SWLDA,15,5
0.4444444444444444,SWLDA,15,6
0.4444444444444444,SWLDA,15,7
0.3888888888888889,SWLDA,15,8
0.05555555555555555,SWLDA,17,1
0.1111111111111111,SWLDA,17,2
0.1111111111111111,SWLDA,17,3
0.16666666666666666,SWLDA,17,4
0.2222222222222222,SWLDA,17,5
0.3888888888888889,SWLDA,17,6
0.2222222222222222,SWLDA,17,7
0.16666666666666666,SWLDA,17,8
0.3333333333333333,SWLDA,21,1
0.3888888888888889,SWLDA,21,2
0.5,SWLDA,21,3
0.6666666666666666,SWLDA,21,4
0.6111111111111112,SWLDA,21,5
0.6666666666666666,SWLDA,21,6
0.6666666666666666,SWLDA,21,7
0.6666666666666666,SWLDA,21,8
0.2222222222222222,SWLDA,22,1
0.2222222222222222,SWLDA,22,2
0.2777777777777778,SWLDA,22,3
0.3888888888888889,SWLDA,22,4
0.5,SWLDA,22,5
0.5555555555555556,SWLDA,22,6
0.6111111111111112,SWLDA,22,7
0.5555555555555556,SWLDA,22,8
0.16666666666666666,SWLDA,23,1
0.3333333333333333,SWLDA,23,2
0.3333333333333333,SWLDA,23,3
0.3333333333333333,SWLDA,23,4
0.3333333333333333,SWLDA,23,5
0.4444444444444444,SWLDA,23,6
0.4444444444444444,SWLDA,23,7
0.3888888888888889,SWLDA,23,8
0.2777777777777778,SWLDA,24,1
0.4444444444444444,SWLDA,24,2
0.4444444444444444,SWLDA,24,3
0.5,SWLDA,24,4
0.5555555555555556,SWLDA,24,5
0.6111111111111112,SWLDA,24,6
0.7777777777777778,SWLDA,24,7
0.7777777777777778,SWLDA,24,8
0.16666666666666666,SWLDA,25,1
0.3333333333333333,SWLDA,25,2
0.3888888888888889,SWLDA,25,3
0.6111111111111112,SWLDA,25,4
0.8888888888888888,SWLDA,25,5
0.8333333333333334,SWLDA,25,6
0.8333333333333334,SWLDA,25,7
0.6111111111111112,SWLDA,25,8
0.5,SWLDA,26,1
0.3333333333333333,SWLDA,26,2
0.4444444444444444,SWLDA,26,3
0.5,SWLDA,26,4
0.5555555555555556,SWLDA,26,5
0.5,SWLDA,26,6
0.6666666666666666,SWLDA,26,7
0.7222222222222222,SWLDA,26,8
0.3333333333333333,SWLDA,27,1
0.3333333333333333,SWLDA,27,2
0.3888888888888889,SWLDA,27,3
0.5555555555555556,SWLDA,27,4
0.5,SWLDA,27,5
0.5555555555555556,SWLDA,27,6
0.5555555555555556,SWLDA,27,7
