Session,Electrode,Tactilo,Mean Amplitude,Condition
26,Fz,1,-1.2105288930495843,Target
26,Fc1,1,0.3163175167981259,Target
26,Fc2,1,0.7909477679651695,Target
26,C3,1,0.47921031085598503,Target
26,Cz,1,1.8448062739112596,Target
26,C4,1,0.8410984549890415,Target
26,Pz,1,2.452079993952988,Target
26,Fz,2,2.1669064522587944,Target
26,Fc1,2,4.558440146765761,Target
26,Fc2,2,2.5483059822159024,Target
26,C3,2,5.916991409557741,Target
26,Cz,2,2.265867533839134,Target
26,C4,2,3.882406715474121,Target
26,Pz,2,4.317285705691437,Target
26,Fz,3,-1.6091650789451062,Target
26,Fc1,3,1.0301119070601725,Target
26,Fc2,3,-0.39284640276826155,Target
26,C3,3,1.5669929886003022,Target
26,Cz,3,0.20818826757543507,Target
26,C4,3,-0.4411188361466796,Target
26,Pz,3,-0.37508129678193797,Target
26,Fz,4,2.6567475394367217,Target
26,Fc1,4,4.1870280660364685,Target
26,Fc2,4,2.746129774938156,Target
26,C3,4,3.9191661537772036,Target
26,Cz,4,2.0124669631782344,Target
26,C4,4,1.5834625733183154,Target
26,Pz,4,1.6506079425736564,Target
26,Fz,5,-0.7692615375062634,Target
26,Fc1,5,1.4551258204978685,Target
26,Fc2,5,1.7150074165768143,Target
26,C3,5,2.2101947675118554,Target
26,Cz,5,1.8977283953275235,Target
26,C4,5,2.3301442796577785,Target
26,Pz,5,2.8898685592096633,Target
26,Fz,6,2.557915794940773,Target
26,Fc1,6,2.5342845723995655,Target
26,Fc2,6,1.3828658034364032,Target
26,C3,6,2.790011476630171,Target
26,Cz,6,0.4937471036517038,Target
26,C4,6,0.36228811252130627,Target
26,Pz,6,1.3806203175684255,Target
26,Fz,1,-1.5634207630558568,nonTarget
26,Fc1,1,-1.6081131841874492,nonTarget
26,Fc2,1,-0.40872394031898035,nonTarget
26,C3,1,-1.7226054848581842,nonTarget
26,Cz,1,-0.04537543934875733,nonTarget
26,C4,1,-0.9966658965132376,nonTarget
26,Pz,1,-0.6725913594615636,nonTarget
26,Fz,2,-1.1309278758840895,nonTarget
26,Fc1,2,-0.30251146591019396,nonTarget
26,Fc2,2,-0.7419350485527241,nonTarget
26,C3,2,-0.1440008414902303,nonTarget
26,Cz,2,-0.8716517085789455,nonTarget
26,C4,2,-0.5554252305646125,nonTarget
26,Pz,2,-0.6882948370207191,nonTarget
26,Fz,3,-1.636853804453436,nonTarget
26,Fc1,3,-1.337373842350835,nonTarget
26,Fc2,3,-0.35380215001745596,nonTarget
26,C3,3,-1.3420780823079377,nonTarget
26,Cz,3,0.33297691393949036,nonTarget
26,C4,3,-0.7607097970261687,nonTarget
26,Pz,3,-0.3233826663228708,nonTarget
26,Fz,4,0.21046944451156002,nonTarget
26,Fc1,4,0.7327101585024607,nonTarget
26,Fc2,4,-0.6697532263747792,nonTarget
26,C3,4,1.3955049569198719,nonTarget
26,Cz,4,-0.7755096136247892,nonTarget
26,C4,4,0.41175589443779065,nonTarget
26,Pz,4,0.10529702580333122,nonTarget
26,Fz,5,-1.8201986061873543,nonTarget
26,Fc1,5,-1.2444351757523195,nonTarget
26,Fc2,5,-1.0800033288787327,nonTarget
26,C3,5,-1.1770882048214215,nonTarget
26,Cz,5,-0.4804506782494701,nonTarget
26,C4,5,-0.7071879721764349,nonTarget
26,Pz,5,-0.239273247632479,nonTarget
26,Fz,6,-1.3477718624367716,nonTarget
26,Fc1,6,-0.6774072037479583,nonTarget
26,Fc2,6,-1.0562660046017505,nonTarget
26,C3,6,-0.45868907040018736,nonTarget
26,Cz,6,-1.2220390906229905,nonTarget
26,C4,6,-1.4315300458089804,nonTarget
26,Pz,6,-1.273993375005971,nonTarget
27,Fz,1,-4.6113406066910265,Target
27,Fc1,1,-0.08293566820393916,Target
27,Fc2,1,0.8932488741150876,Target
27,C3,1,0.4765905373782277,Target
27,Cz,1,2.0242185451091785,Target
27,C4,1,2.0039593078521145,Target
27,Pz,1,2.8309196282117055,Target
27,Fz,2,-1.3577141233645271,Target
27,Fc1,2,1.1206892174547294,Target
27,Fc2,2,-0.14178668175790757,Target
27,C3,2,1.288542267754583,Target
27,Cz,2,-0.24990986529137443,Target
27,C4,2,1.1381976767217696,Target
27,Pz,2,0.7702394655777628,Target
27,Fz,3,3.339223282799835,Target
27,Fc1,3,2.3402737900096664,Target
27,Fc2,3,3.4428787840383897,Target
27,C3,3,1.7196406806481308,Target
27,Cz,3,2.8392304054485136,Target
27,C4,3,1.8227720691978564,Target
27,Pz,3,3.9986014430399064,Target
27,Fz,4,0.750387831291495,Target
27,Fc1,4,2.6102409712973884,Target
27,Fc2,4,1.932579705726978,Target
27,C3,4,1.9104601454535952,Target
27,Cz,4,1.7021219006407944,Target
27,C4,4,1.0743918239020886,Target
