,0,1,2,3,4,5,6
-0.099609375,0.1006685091218538,0.26826522269759584,0.251252419260735,0.25172391233221814,0.2682907698609664,0.18019915917741586,-0.07010860692635609
-0.09765625,0.0997881631716444,0.26651000527103924,0.25527207252981104,0.25129639821132266,0.26886300445351374,0.1834114444284133,-0.06285329402855604
-0.095703125,0.08614167611286554,0.253786067830161,0.24642733471557007,0.24329188173850716,0.2622153590115886,0.17993421678045357,-0.062489199457967014
-0.09375,0.0627492723302807,0.23185039657164114,0.22542795547414107,0.22831046096808774,0.2484655119372781,0.16869583435009516,-0.06762483634035904
-0.091796875,0.035718857963529776,0.20505187244377254,0.1963563184246099,0.20875135123603625,0.22931694801563055,0.150652232892451,-0.07540937650010082
-0.08984375,0.012152425104279076,0.17886568577511724,0.165320184664908,0.18795297670339894,0.20752556992593107,0.12835574556477466,-0.08252037902120793
-0.087890625,-0.0023049138173562196,0.15806009039790792,0.13847010323381106,0.16900910003373185,0.18606554505024103,0.10507823011381172,-0.08626202625388917
-0.0859375,-0.00535252577015949,0.1451786792276992,0.12009729808504009,0.15374341382138487,0.16729196254402257,0.08386124714164588,-0.0853640719587132
-0.083984375,0.001343930171003296,0.13988663184946304,0.11147562897787062,0.14224617990507135,0.15238003667990946,0.06683962169562623,-0.08020491121265186
-0.08203125,0.01299590262058964,0.13937913007190952,0.11080428650850155,0.13312392055336786,0.14119839350567032,0.05501217520194587,-0.0724226076984251
-0.080078125,0.023647538723902687,0.139644767085462,0.11419317902594688,0.12432123168249604,0.132610957735784,0.04841328455933627,-0.06411488565050293
-0.078125,0.028452946009693125,0.13705149459392574,0.11724783810191945,0.11414152307489928,0.1250536778239231,0.04646637012326839,-0.05697167858350437
-0.076171875,0.025391268183124784,0.12963154143089606,0.11662307671207393,0.10202986930235132,0.11715398006390507,0.048272748243512735,-0.051683436299584634
-0.07421875,0.01578945507958937,0.11760664187000301,0.11098452979890937,0.08880905953516889,0.10818459421607281,0.05270917203120956,-0.04782107740152774
-0.072265625,0.003523263106217886,0.10302631779570659,0.10109773036929921,0.07630605292182013,0.09823188500041247,0.05837849653488723,-0.04417341661199612
-0.0703125,-0.0067114863388881086,0.08874276201200791,0.08912570494018036,0.06655903576194969,0.08806711677899891,0.06357443939784697,-0.03935225250069809
-0.068359375,-0.011320480449477262,0.07718287032858566,0.0775107988919043,0.06095318159349865,0.07879931445985851,0.06643019175468204,-0.03239008585408996
-0.06640625,-0.009148693066360482,0.06941668010082083,0.06793601721555105,0.05963618358413288,0.07144234768240042,0.06531664080906076,-0.02310061514734742
